scenario,segment,mean_hfasi,maximum_hfasi,months_above_neutral,months_at_or_above_102,mean_shock_probability,maximum_shock_probability,peak_risk_month,months_probability_at_or_above_10pct,months_probability_at_or_above_50pct,household_budget_signal,procurement_signal
Baseline,Rural,99.34358252628967,99.76589322668778,0,0,0.018632578308488145,0.04123813257200249,2026-08-01,0,0,Normal,Normal
Baseline,Urban,99.44566040557076,99.80229859964346,0,0,0.018632578308488145,0.04123813257200249,2026-08-01,0,0,Normal,Normal
Favorable supply,Rural,98.41758252628966,98.83989322668778,0,0,0.027749789399444346,0.05436161630063218,2026-08-01,0,0,Normal,Normal
Favorable supply,Urban,98.66366040557075,99.02029859964345,0,0,0.027749789399444346,0.05436161630063218,2026-08-01,0,0,Normal,Normal
Moderate stress,Rural,100.73258252628966,101.15489322668778,11,0,0.027319848711905476,0.06329324990765976,2026-09-01,0,0,Watch,Normal
Moderate stress,Urban,100.61866040557076,100.97529859964345,11,0,0.027319848711905476,0.06329324990765976,2026-09-01,0,0,Watch,Normal
Severe stress,Rural,102.12158252628967,102.54389322668777,12,9,0.33100294360468047,0.7488135892505073,2026-11-01,9,3,Elevated,Alert
Severe stress,Urban,101.79166040557077,102.14829859964345,12,4,0.33100294360468047,0.7488135892505073,2026-11-01,9,3,Elevated,Alert
