model,backtest_origins,forecast_errors,mae_all_horizons,rmse_all_horizons,bias_all_horizons,rmse_h1,rmse_h6,rmse_h12,rmse_h24
damped_ets,24.0,576.0,4.8127008122564625,6.044091751191592,2.9716116196413136,1.8021410996428935,3.884289800797469,4.9538735879588005,8.391378715839638
local_drift,24.0,576.0,5.122378810069445,6.291874202102544,2.734281605902779,1.9998949418675032,4.8715750825639015,4.549228686450652,8.009488698773533
flat_naive,24.0,576.0,9.607674553819445,11.643255786296002,9.44140801215278,2.1152342140097433,6.298482788718866,10.470089102033379,16.859085379815717
seasonal_naive,24.0,576.0,13.697667866319446,14.795532178130948,13.697667866319446,9.307417219047416,9.720337176918497,10.470089102033379,16.859085379815717
