model,n,r_squared,adjusted_r_squared,aic,bic,residual_rmse
baseline_hac,287,0.873171365310812,0.8713723775847242,950.2899246584976,968.5873357372957,1.2450768115530515
full_hac,287,0.8736108823994133,0.8695043767734014,959.2936159086911,995.8884380662873,1.242917569437274
