region,mean_yoy_price_change,median_yoy_price_change,yoy_volatility,valid_observations,commodities,official_source_rows
West Bengal,2.765437464882206,3.1271460859471523,36.28897272070154,132,7,151926
Uttarakhand,1.247308088228126,2.1320126984568644,30.11480719407228,124,7,25157
Delhi,12.088299502469752,1.1495057462026836,60.55480970329725,132,7,6543
Odisha,2.2924322964637462,-0.7801781847634137,38.39618119128865,97,5,48592
Uttar Pradesh,2.6051611675680646,-0.8673161995874368,39.346886809056706,184,8,486637
Punjab,3.3275235363458697,-0.8769428236931663,45.98543982615644,90,4,104936
Manipur,1.200291062931458,-1.0231362114579978,25.825402852872053,102,5,7323
Kerala,0.9897391314675742,-1.301934533577248,27.326544705201552,136,6,115038
Haryana,2.7050345855289697,-2.9203988109496315,41.318761357240696,112,5,115755
Rajasthan,2.8413786376562866,-3.025867000061305,40.31938153847135,158,7,111459
Gujarat,1.2011086109755886,-3.390211818523298,39.63891671508592,184,8,113131
Tripura,-2.065627078525536,-3.8320336622515994,30.76459004280144,96,4,31603
Nagaland,-3.4064020207180454,-3.939585256364742,35.647536648811574,56,3,1453
Maharashtra,1.516741390764161,-4.296671223617571,39.87992311753474,184,8,224854
Madhya Pradesh,1.574701321584984,-5.076104014095134,45.50039171170923,160,7,445741
Chhattisgarh,1.8397130335522924,-6.287103408939132,39.009586089198116,147,7,12882
Meghalaya,3.5295146726234172,-6.72009744214373,39.62570907260601,64,4,1155
Telangana,-1.4165991356318277,-6.763007134306697,37.94241608175467,151,7,24195
Karnataka,-0.37834945538277354,-7.191972968185224,37.84087796508086,182,8,48519
Bihar,-0.03455963014879193,-7.218072358568289,39.120638497563064,70,4,9474
Tamil Nadu,292.14507002392304,-7.750378661361424,1388.9544524657304,65,5,231526
Andhra Pradesh,1.695347556591757,-8.202481849739629,57.077221228199804,125,7,6736
Jammu and Kashmir,0.04942913487467634,-12.97490665466518,46.389121453758136,72,3,9562
Himachal Pradesh,0.45457919119435825,-18.29793485545943,48.24446881503644,72,3,36842
Goa,-0.4330381761560221,-19.40395793676818,53.38112935508002,48,2,1397
Chandigarh,-0.60002865942512,-20.51471017946499,60.349691595100836,72,3,1732
