model,term,coefficient,std_error,t_stat,p_value,ci_95_lower,ci_95_upper
baseline_hac,const,5.90381505388795,0.08058688332083266,73.26024795354932,0.0,5.745867664952787,6.061762442823113
baseline_hac,food_cpi_yoy_lag1_z,3.2686686326467598,0.0783088299341041,41.740741566401944,0.0,3.1151861463044437,3.422151118989076
baseline_hac,trend_years_z,-0.066627417150133,0.07658830411283069,-0.8699424529883414,0.38433185379554247,-0.21673773484828202,0.08348290054801603
baseline_hac,month_sin_z,-0.02123734450200294,0.08255516701907648,-0.2572503365791206,0.7969855281719865,-0.18304249859708172,0.14056780959307585
baseline_hac,month_cos_z,-0.00969405708616252,0.07101299280407421,-0.1365110341555179,0.8914173022127998,-0.14887696541655,0.12948885124422493
full_hac,const,5.90381505388795,0.08006505983680194,73.73772112231981,0.0,5.746890420187774,6.060739687588126
full_hac,food_cpi_yoy_lag1_z,3.284989853580259,0.08900963229951925,36.90600408870582,3.7020635060318636e-298,3.110534179996048,3.4594455271644695
full_hac,trend_years_z,-0.08753964517148259,0.07385272899769955,-1.1853271552661158,0.23588812080068988,-0.2322883341669706,0.05720904382400542
full_hac,month_sin_z,-0.020382865809939463,0.08118614674444385,-0.251063347963788,0.8017651325723466,-0.17950478947263315,0.13873905785275426
full_hac,month_cos_z,-0.012097685389370914,0.07176631102644317,-0.16857053422898352,0.866134459115707,-0.15275707030449928,0.12856169952575744
full_hac,mandi_yoy_lag1_z,-0.025104202595300718,0.11033763309485785,-0.22752167045053887,0.8200181204649069,-0.24136198960061683,0.1911535844100154
full_hac,world_wheat_yoy_lag1_z,-0.034120761611452506,0.07385974730909595,-0.46196694213778444,0.6441050270538216,-0.17888320624450973,0.11064168302160474
full_hac,world_crude_yoy_lag1_z,0.004971871633206046,0.07818389010357117,0.06359202166353894,0.9492950846753085,-0.14826573714103103,0.1582094804074431
full_hac,rainfall_anomaly_lag1_z,0.04466045784336703,0.07505308562469877,0.5950515887739862,0.5518089873487473,-0.10244088690964342,0.19176180259637748
full_hac,temperature_anomaly_lag1_z,-0.046367978179898066,0.07573795206219049,-0.6122158959595853,0.5403949258365,-0.19481163648461255,0.10207568012481641
