Commodity,observations,states_uts,official_source_rows,median_price_rs_per_quintal,mean_price_rs_per_quintal,price_standard_deviation,median_mom_pct,mean_yoy_pct,yoy_volatility,extreme_prices,coefficient_of_variation
Onion,7039,31,3338857,1259.1370558375634,1655.9169937651573,1305.2132544244434,0.8039579468150926,24.561289150660993,117.74927892285307,1,0.7882117638376922
Potato,7297,32,3406949,971.0344827586208,1211.0821252215337,902.756182186306,1.8226675251549864,17.11861313837235,116.55405472265147,1,0.7454128530062913
Tomato,6637,31,2968850,1329.5341614906831,1763.6895910115093,1481.8992278224266,-1.1326093709901897,21.503912486291544,81.90820149171165,1,0.8402267810474118
Arhar (Tur/Red Gram)(Whole),3954,23,987907,4507.3593495934965,5051.6082252869755,2851.0808193632233,0.3010752399433825,10.03759709192684,31.157485841827143,8,0.5643907231545567
Bengal Gram(Gram)(Whole),4445,23,1534906,3902.608695652174,4103.62447457441,1972.499770883929,0.27631102479908076,8.85392014414376,26.561774738689152,1,0.4806725817884441
Soyabean,2783,24,1261321,3138.9166666666665,3245.451619567225,1720.1032958259962,0.3058741744873083,9.190136550726091,25.852982425793613,0,0.5300042944579062
Wheat,4853,27,3470626,1528.125,1578.8915282877017,713.8100261211215,0.4963248470667869,7.221294885463976,25.317069137254666,0,0.45209567176235604
Rice,4784,28,1867046,2226.205604090903,2377.361117244114,1193.598543009341,0.4109782185865773,7.7544139255272935,23.66391065425208,3,0.5020686736868082
