date,segment,hfasi_point,hfasi_lower,hfasi_upper
2026-01-01,Rural,98.3146649854377,97.55039893057845,99.48846427919108
2026-02-01,Rural,98.9774059720303,97.75779379056604,100.98438586174294
2026-03-01,Rural,99.34394769546219,98.21947031988994,101.78708341670263
2026-04-01,Rural,99.60892438648553,98.43128226803111,102.07739339765045
2026-05-01,Rural,99.76589322668778,98.30204233630423,102.210933118048
2026-06-01,Rural,99.62675619694055,98.06048986024759,102.0791605415805
2026-07-01,Rural,99.27864192531828,97.70593924946259,101.8441343447747
2026-08-01,Rural,99.13339400272693,97.50508130566855,101.86157807901314
2026-09-01,Rural,99.36347749252826,97.70401290076997,101.91023676370898
2026-10-01,Rural,99.68672459706559,98.32514262798811,101.82842958423333
2026-11-01,Rural,99.5559005252301,98.54778690740704,101.79149658636032
2026-12-01,Rural,99.46725930956288,98.71880208975183,101.7937481558598
2026-01-01,Urban,98.57674732031563,97.93133041437619,99.56801195067756
2026-02-01,Urban,99.13642707357202,98.10647380585598,100.8313064188801
2026-03-01,Urban,99.4459687881765,98.49635614487465,101.50917843613549
2026-04-01,Urban,99.66973960068216,98.67522973390965,101.75434302047803
2026-05-01,Urban,99.80229859964346,98.566087588542,101.86711630487423
2026-06-01,Urban,99.68479842981372,98.36209834850283,101.75583536016842
2026-07-01,Urban,99.39081855896208,98.06268303788309,101.55735751362182
2026-08-01,Urban,99.26815778632016,97.89306002271361,101.57208861532212
2026-09-01,Urban,99.46246155416533,98.0610562509742,101.61318050671753
2026-10-01,Urban,99.73544129039449,98.58559561024482,101.54409496206313
2026-11-01,Urban,99.62496135068028,98.773617021158,101.51290532455052
2026-12-01,Urban,99.55010451412329,98.91803804987681,101.51480675797232
