target_date,horizon_months,input_status,feature,feature_value,training_median,base_probability,median_replacement_probability,probability_contribution,absolute_contribution
2026-01-01,1,observed inputs,food_cpi_mom_current,-0.2467919303744792,0.5336184120685372,0.02586590744287365,0.06988067706554493,-0.044014769622671285,0.044014769622671285
2026-02-01,2,conditional forecast inputs,food_cpi_mom_current,-0.2359349062906912,0.5336184120685372,0.01125168024908451,0.042662407749936654,-0.031410727500852144,0.031410727500852144
2026-03-01,3,conditional forecast inputs,food_cpi_mom_current,-0.2397648904552074,0.5336184120685372,0.01202362230026512,0.04549019357843386,-0.03346657127816874,0.03346657127816874
2026-04-01,4,conditional forecast inputs,food_cpi_mom_current,0.0637222401652426,0.5336184120685372,0.01202362230026512,0.04480104494089655,-0.03277742264063144,0.03277742264063144
2026-05-01,5,conditional forecast inputs,food_cpi_mom_current,0.4553879310639441,0.5336184120685372,0.00797033400471516,0.016941460877998554,-0.008971126873283395,0.008971126873283395
2026-06-01,6,conditional forecast inputs,food_cpi_mom_current,0.3798433698113612,0.5336184120685372,0.008540293052855235,0.017169045399477514,-0.00862875234662228,0.00862875234662228
2026-07-01,7,conditional forecast inputs,target_month_cos,-0.8660254037844388,-1.8369701987210297e-16,0.03799609126846582,0.08462384014994402,-0.0466277488814782,0.0466277488814782
2026-08-01,8,conditional forecast inputs,target_month_cos,-0.5000000000000004,-1.8369701987210297e-16,0.04123813257200249,0.09890038450516708,-0.05766225193316459,0.05766225193316459
2026-09-01,9,conditional forecast inputs,food_cpi_mom_current,0.2871833183286876,0.5336184120685372,0.01426897222360953,0.03993307469657405,-0.025664102472964516,0.025664102472964516
2026-10-01,10,conditional forecast inputs,food_cpi_mom_current,0.0901879315788667,0.5336184120685372,0.016560447067190807,0.05165439654561743,-0.035093949478426624,0.035093949478426624
2026-11-01,11,conditional forecast inputs,food_cpi_mom_current,0.4809313151706185,0.5336184120685372,0.018084936955688326,0.059328496119050354,-0.04124355916336203,0.04124355916336203
2026-12-01,12,conditional forecast inputs,food_cpi_mom_current,0.221206722191769,0.5336184120685372,0.017766900264841953,0.051070337229983165,-0.03330343696514121,0.03330343696514121
