target_date,horizon_months,input_status,feature,feature_value,training_median,base_probability,median_replacement_probability,probability_contribution,absolute_contribution
2026-01-01,1,observed inputs,food_cpi_yoy_current,-1.8455561514742704,5.481632271849612,0.02586590744287365,0.02586590744287365,0.0,0.0
2026-01-01,1,observed inputs,food_cpi_yoy_lag1,-2.7831091070794844,5.481632271849612,0.02586590744287365,0.02586590744287365,0.0,0.0
2026-01-01,1,observed inputs,food_cpi_mom_current,-0.2467919303744792,0.5336184120685372,0.02586590744287365,0.06988067706554493,-0.044014769622671285,0.044014769622671285
2026-01-01,1,observed inputs,mandi_yoy_current,68.2570815391838,5.301875899761543,0.02586590744287365,0.022159525736699985,0.0037063817061736663,0.0037063817061736663
2026-01-01,1,observed inputs,world_wheat_yoy_current,-3.084361187790208,2.080076195077396,0.02586590744287365,0.024725789276764977,0.0011401181661086744,0.0011401181661086744
2026-01-01,1,observed inputs,world_crude_yoy_current,-15.808106650440468,5.412956319907392,0.02586590744287365,0.031985408738405566,-0.006119501295531914,0.006119501295531914
2026-01-01,1,observed inputs,rainfall_anomaly_current,-55.887596998865206,-1.0863060243871085,0.02586590744287365,0.011335782212735856,0.014530125230137796,0.014530125230137796
2026-01-01,1,observed inputs,temperature_anomaly_current,-0.5583481527433136,0.01040977391783926,0.02586590744287365,0.01895902726461981,0.006906880178253843,0.006906880178253843
2026-01-01,1,observed inputs,target_month_sin,0.4999999999999999,-2.4492935982947064e-16,0.02586590744287365,0.022511640328978788,0.0033542671138948633,0.0033542671138948633
2026-01-01,1,observed inputs,target_month_cos,0.8660254037844387,-1.8369701987210297e-16,0.02586590744287365,0.02641470188320428,-0.0005487944403306279,0.0005487944403306279
2026-01-01,1,observed inputs,trend_months,311.0,167.0,0.02586590744287365,0.017182721226209795,0.008683186216663856,0.008683186216663856
2026-02-01,2,conditional forecast inputs,food_cpi_yoy_current,0.359967571139741,5.481632271849612,0.01125168024908451,0.01125168024908451,0.0,0.0
2026-02-01,2,conditional forecast inputs,food_cpi_yoy_lag1,-1.8455561514742704,5.481632271849612,0.01125168024908451,0.01125168024908451,0.0,0.0
2026-02-01,2,conditional forecast inputs,food_cpi_mom_current,-0.2359349062906912,0.5336184120685372,0.01125168024908451,0.042662407749936654,-0.031410727500852144,0.031410727500852144
2026-02-01,2,conditional forecast inputs,mandi_yoy_current,93.80942056355036,5.301875899761543,0.01125168024908451,0.005028385633318835,0.006223294615765675,0.006223294615765675
2026-02-01,2,conditional forecast inputs,world_wheat_yoy_current,-3.2110018644527005,2.080076195077396,0.01125168024908451,0.01125168024908451,0.0,0.0
2026-02-01,2,conditional forecast inputs,world_crude_yoy_current,-22.110488472659352,5.412956319907392,0.01125168024908451,0.009827936879873721,0.0014237433692107886,0.0014237433692107886
2026-02-01,2,conditional forecast inputs,rainfall_anomaly_current,0.0,-1.0863060243871085,0.01125168024908451,0.01125168024908451,0.0,0.0
2026-02-01,2,conditional forecast inputs,temperature_anomaly_current,0.0,0.01040977391783926,0.01125168024908451,0.01125168024908451,0.0,0.0
2026-02-01,2,conditional forecast inputs,target_month_sin,0.8660254037844386,-2.4492935982947064e-16,0.01125168024908451,0.02175578242898335,-0.01050410217989884,0.01050410217989884
2026-02-01,2,conditional forecast inputs,target_month_cos,0.5000000000000001,-1.8369701987210297e-16,0.01125168024908451,0.011048276863345498,0.00020340338573901148,0.00020340338573901148
2026-02-01,2,conditional forecast inputs,trend_months,312.0,167.0,0.01125168024908451,0.003173523567839599,0.00807815668124491,0.00807815668124491
2026-03-01,3,conditional forecast inputs,food_cpi_yoy_current,1.791373589698253,5.481632271849612,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-03-01,3,conditional forecast inputs,food_cpi_yoy_lag1,0.359967571139741,5.481632271849612,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-03-01,3,conditional forecast inputs,food_cpi_mom_current,-0.2397648904552074,0.5336184120685372,0.01202362230026512,0.04549019357843386,-0.03346657127816874,0.03346657127816874
2026-03-01,3,conditional forecast inputs,mandi_yoy_current,108.92459176287366,5.301875899761543,0.01202362230026512,0.005648881729558906,0.0063747405707062135,0.0063747405707062135
2026-03-01,3,conditional forecast inputs,world_wheat_yoy_current,-8.350434572670206,2.080076195077396,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-03-01,3,conditional forecast inputs,world_crude_yoy_current,-17.528007694495994,5.412956319907392,0.01202362230026512,0.014544983436620489,-0.0025213611363553694,0.0025213611363553694
2026-03-01,3,conditional forecast inputs,rainfall_anomaly_current,0.0,-1.0863060243871085,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-03-01,3,conditional forecast inputs,temperature_anomaly_current,0.0,0.01040977391783926,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-03-01,3,conditional forecast inputs,target_month_sin,1.0,-2.4492935982947064e-16,0.01202362230026512,0.013369552734870704,-0.0013459304346055845,0.0013459304346055845
2026-03-01,3,conditional forecast inputs,target_month_cos,6.123233995736766e-17,-1.8369701987210297e-16,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-03-01,3,conditional forecast inputs,trend_months,313.0,167.0,0.01202362230026512,0.0056418041234617975,0.006381818176803322,0.006381818176803322
2026-04-01,4,conditional forecast inputs,food_cpi_yoy_current,2.583040378968016,5.481632271849612,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-04-01,4,conditional forecast inputs,food_cpi_yoy_lag1,1.791373589698253,5.481632271849612,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-04-01,4,conditional forecast inputs,food_cpi_mom_current,0.0637222401652426,0.5336184120685372,0.01202362230026512,0.04480104494089655,-0.03277742264063144,0.03277742264063144
2026-04-01,4,conditional forecast inputs,mandi_yoy_current,123.40170992074816,5.301875899761543,0.01202362230026512,0.005648881729558906,0.0063747405707062135,0.0063747405707062135
2026-04-01,4,conditional forecast inputs,world_wheat_yoy_current,-1.9200025836872412,2.080076195077396,0.01202362230026512,0.01202362230026512,0.0,0.0
