date,horizon_months,forecast,error_q025,error_q975,lower_95_empirical,upper_95_empirical,model,assumption
2026-01-01,1,158.01435929793814,-2.598960158418809,3.9916172896190965,155.41539913951934,162.00597658755723,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-02-01,2,157.63549634246394,-4.079282723922491,6.712821104767395,153.55621361854145,164.34831744723132,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-03-01,3,157.73594521202895,-3.7344344162307848,8.11375161397082,154.00151079579817,165.84969682599979,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-04-01,4,158.45425566947418,-3.9070099191278747,8.189527837488402,154.5472457503463,166.6437835069626,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-05-01,5,159.05613365381862,-4.859029627380042,8.11593677354149,154.19710402643858,167.1720704273601,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-06-01,6,160.21177378069424,-5.252005870145206,8.223404737928481,154.95976791054903,168.43517851862273,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-07-01,7,161.85444920169337,-5.366761127952904,8.754601363735445,156.48768807374046,170.60905056542882,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-08-01,8,162.31926817977342,-5.589601840667905,9.365193038191652,156.7296663391055,171.68446121796507,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-09-01,9,162.4656605702987,-5.674067173910402,8.707918959058595,156.7915933963883,171.17357952935728,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-10-01,10,163.24700880838006,-4.64632336190995,7.308450128007132,158.6006854464701,170.5554589363872,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-11-01,11,163.6081221656412,-3.4571962741143207,7.666689782104101,160.15092589152687,171.2748119477453,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2026-12-01,12,162.90111705668528,-2.5604034784278205,7.958704889086327,160.34071357825746,170.8598219457716,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-01-01,13,162.42760200673254,-2.070988223180434,8.457784123314411,160.35661378355212,170.88538613004695,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-02-01,14,162.02667283771436,-2.545881589131484,9.853273426686027,159.48079124858288,171.8799462644004,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-03-01,15,162.10516582480312,-2.9297330899098073,10.627837602297019,159.17543273489332,172.73300342710013,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-04-01,16,162.80163017918446,-4.200720063144321,11.26399779294194,158.60091011604013,174.0656279721264,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-05-01,17,163.38177129098034,-5.068008413684018,13.402240366258424,158.3137628772963,176.78401165723875,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-06-01,18,164.51578322967018,-7.699129924314917,13.656125256536976,156.81665330535526,178.17190848620714,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-07-01,19,166.1369386034244,-9.744126998101798,13.732242477768775,156.3928116053226,179.86918108119318,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-08-01,20,166.5803451344958,-11.15095782646604,13.624942237188366,155.42938730802973,180.20528737168416,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-09-01,21,166.70543214024747,-12.196288108279552,13.803391329716751,154.5091440319679,180.50882346996423,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-10-01,22,167.4655815204791,-12.459191592773077,14.535374337112799,155.00638992770604,182.00095585759192,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-11-01,23,167.80560201417973,-11.865448690842552,15.393373074013741,155.94015332333717,183.19897508819346,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
2027-12-01,24,167.07760950598114,-11.425784556217202,14.348402664511172,155.65182494976395,181.42601217049233,damped_ets,Univariate CPI path; interval calibrated from matching historical horizons
