Commodity,rows,extreme_prices,raw_min_price,raw_max_price,cleaned_min_price,cleaned_max_price,extreme_percent
Arhar (Tur/Red Gram)(Whole),3954,8,24.25,33877.71428571428,350.0,33877.71428571428,0.20232675771370764
Bengal Gram(Gram)(Whole),4445,1,24.9,12780.0,145.0,12780.0,0.02249718785151856
Onion,7039,1,2.5,10921.09022556391,44.60823838737949,10921.09022556391,0.014206563432305724
Potato,7297,1,6.75,15257.665551839464,49.575471698113205,15257.665551839464,0.013704262025489928
Rice,4784,3,19.33333333333333,136673.33333333334,198.0,25700.666666666668,0.06270903010033445
Soyabean,2783,0,865.0,14666.666666666666,865.0,14666.666666666666,0.0
Tomato,6637,1,51.26190476190476,197996.2611134904,51.26190476190476,19000.0,0.015067048365225252
Wheat,4853,0,260.0,24000.0,260.0,24000.0,0.0
