term,coefficient,std_error_HAC,p_value,ci_95_low,ci_95_high
const,0.506700224442637,0.05559174491978169,7.89126786088589e-20,0.39774240656212734,0.6156580423231466
food_cpi_lag_1,-0.15222959342267503,0.057329622647235255,0.007922870021506356,-0.264593589058528,-0.039865597786822096
world_rice_usd_per_mt,0.12673912115454947,0.06425795333227788,0.04856975973496128,0.0007958469030292792,0.2526823954060696
world_wheat_usd_per_mt,0.2557685553687273,0.09207682458517918,0.0054732770740862045,0.07530129537096389,0.4362358153664907
world_palm_oil_usd_per_mt,-0.18828108279451655,0.10985327569382021,0.08654115121972081,-0.4035895467381535,0.027027381149120372
rainfall_mm,0.25463368835160133,0.22299774659798824,0.2535094557787412,-0.18243386361404496,0.6917012403172476
temperature_c,0.776902769812256,0.28289561442787586,0.0060280361710879264,0.22243755414928967,1.3313679854752225
month_sin,0.23974268015778682,0.1525857471120625,0.11613626964797522,-0.0593198887359922,0.5388052490515658
month_cos,0.24556013847342156,0.38897100216780484,0.5278397738479358,-0.5168090168059272,1.0079292937527704
