Model,MAE,RMSE,sMAPE_pct,R2
Ridge regression,1.3623801334450658,1.932807707752531,0.9103783942335348,0.9574446007533147
Persistence,1.4256876382978716,2.045043382172368,0.9522291524125501,0.9523588296065965
Random forest,19.75028063789042,21.948039223337936,14.010895601892392,-4.487427898883885
