model,n,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,brier_score,tp,tn,fp,fn
hist_gradient_boosting,60,0.9166666666666666,0.7727272727272727,0.5,0.6,0.9454545454545454,0.5454545454545454,0.7636363636363637,0.4515151515151514,0.07582765073059945,3,52,3,2
logistic_balanced,60,0.85,0.7363636363636363,0.3,0.6,0.8727272727272727,0.4,0.8290909090909091,0.47869674185463656,0.11125631050941794,3,48,7,2
persistence,60,0.9,0.6727272727272727,0.4,0.4,0.9454545454545454,0.4,0.6727272727272726,0.21000000000000002,0.1,2,52,3,3
random_forest_balanced,60,0.8833333333333333,0.6636363636363636,0.3333333333333333,0.4,0.9272727272727272,0.36363636363636365,0.7818181818181819,0.3127413127413127,0.08898004487934716,2,51,4,3
