date,food_cpi_yoy_pct_exact,food_cpi_2015_100,exploratory_high_inflation
2013-11-01,16.650807970376192,96.083004,True
2013-10-01,14.91395777171962,94.202097,True
2010-01-01,14.883146797774405,66.633791,True
2009-12-01,13.74164797359727,65.560066,True
2010-03-01,13.64928096603524,65.918132,True
2010-02-01,13.64928096603524,65.918132,True
2013-09-01,13.5316695377647,92.713046,True
2013-02-01,13.16348187276597,83.543624,True
2010-05-01,12.774307090983084,66.633791,True
2013-12-01,12.761904329055284,92.791417,True
2013-01-01,12.700106223639862,82.759912,True
2010-06-01,12.608111145298206,67.348801,True
2013-08-01,12.439730397343762,91.380737,True
2009-11-01,12.41431860834028,65.201837,True
2010-04-01,12.249571380779356,65.918132,True
2012-12-01,12.179487537771095,82.289686,True
2019-12-01,12.156294522829649,121.47525,True
2013-07-01,12.12121212121211,89.891685,True
2013-06-01,12.08791260619888,87.932407,True
2013-03-01,12.054507568855756,83.778737,True
2020-01-01,11.717612013127688,120.299683,True
2012-08-01,11.625403727858895,81.270861,True
2012-07-01,11.43790764731416,80.173665,True
2013-05-01,10.975609835166322,85.581273,True
2009-07-01,10.927394872773988,62.33001,True
2009-08-01,10.77731628507732,63.048986,True
2009-09-01,10.703805694107004,63.408214,True
2012-09-01,10.61571131879937,81.662717,True
2012-06-01,10.607734227081478,78.4495,True
2013-04-01,10.574948240274118,84.405706,True
2023-07-01,10.571428650591418,151.648135,True
2009-10-01,10.559751845831643,64.126163,True
2012-11-01,10.515247197190993,82.368057,True
2020-04-01,10.473457811018273,120.691539,True
2010-07-01,10.34321509013074,68.776937,True
2020-10-01,10.093583330698497,129.07725,True
2012-05-01,9.944133315196837,77.117191,True
2020-09-01,9.795918703923668,126.491003,True
2012-10-01,9.758656868817717,81.976201,True
2024-10-01,9.69093770606426,164.109145,True
2014-01-01,9.659091952635237,90.753768,True
2008-11-01,9.60840614735259,58.001363,True
2009-01-01,9.60840614735259,58.001363,True
2008-10-01,9.60840614735259,58.001363,True
2012-04-01,9.561304843353424,76.33348,True
2020-02-01,9.454544685161114,117.948549,True
2014-04-01,9.192200821115094,92.164448,True
2023-08-01,9.188882622215932,150.864424,True
2010-08-01,9.084921682959358,68.776937,True
2023-11-01,9.06002289799006,150.942795,True
2010-09-01,9.029382218524562,69.133584,True
2008-09-01,8.991350771891504,57.277357,True
2008-12-01,8.92448844266045,57.639455,True
2010-10-01,8.920332563793032,69.84643,True
2020-11-01,8.887426425866796,129.625848,True
2014-05-01,8.882784438132862,93.183273,True
2009-02-01,8.858589333940724,58.001363,True
2019-11-01,8.732999540473617,119.045745,True
2014-07-01,8.71839592282646,97.728798,True
2010-12-01,8.709922592207263,71.270297,True
2023-12-01,8.698124119218287,149.845599,True
2014-03-01,8.60617414177538,90.988881,True
2014-08-01,8.576329385480875,99.21785,True
2011-01-01,8.558361927809255,72.336552,True
2009-06-01,8.543288722960817,59.808126,True
2020-07-01,8.500345634522045,123.042673,True
2022-09-01,8.414634271586374,139.343868,True
2020-05-01,8.374733634629461,119.672714,True
2024-09-01,8.359788766290244,160.504073,True
2024-06-01,8.356089008300604,155.48832,True
2008-08-01,8.301963890991138,56.915069,True
2020-08-01,8.293351967948293,123.826384,True
2024-11-01,8.203530350686838,163.325433,True
2014-02-01,8.161350529874078,90.361912,True
2022-04-01,8.101266205108605,133.857889,True
