model,n_forecasts,mae,rmse,mape_pct,smape_pct,mase,mean_error_bias,directional_accuracy,rmse_improvement_vs_naive_pct
naive_last,60,1.529543283333333,2.06278909753679,1.071202966650184,1.0764132671671331,2.264512688130831,0.6152133833333335,0.0,0.0
ridge_arx,60,1.9710781461203897,2.572019440603739,1.3766319139490366,1.3841048762734078,2.9182119393572483,0.8026260781084936,0.4166666666666667,-24.686495758341408
random_forest,60,3.7930747085239833,4.755508257620693,2.6495507122935527,2.6990057997735706,5.6157062687115955,3.0076923273209157,0.36666666666666664,-130.5377832033009
hist_gradient_boosting,60,3.885068635601288,4.891230776257905,2.7068952639267834,2.7590899602690953,5.751904712631106,3.0982801976690757,0.38333333333333336,-137.1173467078434
seasonal_naive,60,7.60853055,8.444993859589413,5.3489092408880365,5.524255389327757,11.264548153849928,7.02858415,0.4,-309.39686319235045
