feature_month,target_date,food_cpi_yoy_current,food_cpi_yoy_lag1,food_cpi_mom_current,mandi_yoy_current,world_wheat_yoy_current,world_crude_yoy_current,rainfall_anomaly_current,temperature_anomaly_current,target_month_sin,target_month_cos,trend_months
2025-12-01,2026-01-01,-1.8455561514742702,-2.7831091070794844,-0.24679193037447922,68.2570815391838,-3.0843611877902077,-15.808106650440468,-55.887596998865206,-0.5583481527433136,0.49999999999999994,0.8660254037844387,311.0
2026-01-01,2026-02-01,0.359967571139741,-1.8455561514742702,-0.23593490629069125,93.80942056355035,-3.2110018644527005,-22.110488472659352,0.0,0.0,0.8660254037844386,0.5000000000000001,312.0
2026-02-01,2026-03-01,1.791373589698253,0.359967571139741,-0.23976489045520744,108.92459176287366,-8.350434572670206,-17.528007694495994,0.0,0.0,1.0,6.123233995736766e-17,313.0
2026-03-01,2026-04-01,2.5830403789680156,1.791373589698253,0.06372224016524264,123.40170992074815,-1.9200025836872414,-13.891298608225854,0.0,0.0,0.8660254037844387,-0.4999999999999998,314.0
2026-04-01,2026-05-01,3.155344247268954,2.5830403789680156,0.45538793106394415,129.46745732075243,1.6348454677799884,-7.624611182763063,0.0,0.0,0.49999999999999994,-0.8660254037844387,315.0
2026-05-01,2026-06-01,3.494369820059995,3.155344247268954,0.37984336981136124,127.93294574258755,0.8601793424111603,-2.978018125224269,0.0,0.0,1.2246467991473532e-16,-1.0,316.0
2026-06-01,2026-07-01,3.19385787676143,3.494369820059995,0.7265611833560781,118.62993512249767,2.70032633874977,-11.955264172777092,0.0,0.0,-0.4999999999999997,-0.8660254037844388,317.0
2026-07-01,2026-08-01,2.4419911993915244,3.19385787676143,1.0253150453522153,107.47888996166401,5.9741075478940475,-12.010830029238761,0.0,0.0,-0.8660254037844384,-0.5000000000000004,318.0
2026-08-01,2026-09-01,2.1282807834275053,2.4419911993915244,0.2871833183286876,100.76860413878177,11.392730073726298,-8.749806398110005,0.0,0.0,-1.0,-1.8369701987210297e-16,319.0
2026-09-01,2026-10-01,2.625221366151753,2.1282807834275053,0.09018793157886673,118.95684229848177,7.834886817576581,-8.39189250191852,0.0,0.0,-0.8660254037844386,0.5000000000000001,320.0
2026-10-01,2026-11-01,3.3233792593209355,2.625221366151753,0.4809313151706185,120.13338111739009,6.614007372301223,-3.426906583610667,0.0,0.0,-0.5000000000000004,0.8660254037844384,321.0
2026-11-01,2026-12-01,3.040821868747523,3.3233792593209355,0.22120672219176907,99.31013650755467,-0.8974024278814774,-2.3362511964612587,0.0,0.0,-2.4492935982947064e-16,1.0,322.0
