food_expenditure_share,purchasing_power_growth_pct,mean_forecast_food_cost_growth_pct,hfasi
0.3,-2.0,2.5822516766515604,101.37467550299547
0.3,-1.0,2.5822516766515604,101.07467550299546
0.3,0.0,2.5822516766515604,100.77467550299546
0.3,1.0,2.5822516766515604,100.47467550299547
0.3,2.0,2.5822516766515604,100.17467550299547
0.3,3.0,2.5822516766515604,99.87467550299547
0.3,4.0,2.5822516766515604,99.57467550299546
0.3,5.0,2.5822516766515604,99.27467550299546
0.3,6.0,2.5822516766515604,98.97467550299547
0.3,7.0,2.5822516766515604,98.67467550299547
0.3,8.0,2.5822516766515604,98.37467550299547
0.3,9.0,2.5822516766515604,98.07467550299546
0.3,10.0,2.5822516766515604,97.77467550299546
0.325,-2.0,2.5822516766515604,101.48923179491176
0.325,-1.0,2.5822516766515604,101.16423179491176
0.325,0.0,2.5822516766515604,100.83923179491175
0.325,1.0,2.5822516766515604,100.51423179491175
0.325,2.0,2.5822516766515604,100.18923179491176
0.325,3.0,2.5822516766515604,99.86423179491176
0.325,4.0,2.5822516766515604,99.53923179491176
0.325,5.0,2.5822516766515604,99.21423179491175
0.325,6.0,2.5822516766515604,98.88923179491175
0.325,7.0,2.5822516766515604,98.56423179491176
0.325,8.0,2.5822516766515604,98.23923179491176
0.325,9.0,2.5822516766515604,97.91423179491176
0.325,10.0,2.5822516766515604,97.58923179491175
0.35,-2.0,2.5822516766515604,101.60378808682805
0.35,-1.0,2.5822516766515604,101.25378808682805
0.35,0.0,2.5822516766515604,100.90378808682804
0.35,1.0,2.5822516766515604,100.55378808682805
0.35,2.0,2.5822516766515604,100.20378808682804
0.35,3.0,2.5822516766515604,99.85378808682805
0.35,4.0,2.5822516766515604,99.50378808682805
0.35,5.0,2.5822516766515604,99.15378808682804
0.35,6.0,2.5822516766515604,98.80378808682805
0.35,7.0,2.5822516766515604,98.45378808682804
0.35,8.0,2.5822516766515604,98.10378808682805
0.35,9.0,2.5822516766515604,97.75378808682805
0.35,10.0,2.5822516766515604,97.40378808682804
0.375,-2.0,2.5822516766515604,101.71834437874433
0.375,-1.0,2.5822516766515604,101.34334437874433
0.375,0.0,2.5822516766515604,100.96834437874433
0.375,1.0,2.5822516766515604,100.59334437874433
0.375,2.0,2.5822516766515604,100.21834437874433
0.375,3.0,2.5822516766515604,99.84334437874433
0.375,4.0,2.5822516766515604,99.46834437874433
0.375,5.0,2.5822516766515604,99.09334437874433
0.375,6.0,2.5822516766515604,98.71834437874433
0.375,7.0,2.5822516766515604,98.34334437874433
0.375,8.0,2.5822516766515604,97.96834437874433
0.375,9.0,2.5822516766515604,97.59334437874433
0.375,10.0,2.5822516766515604,97.21834437874433
0.4,-2.0,2.5822516766515604,101.83290067066062
0.4,-1.0,2.5822516766515604,101.43290067066063
0.4,0.0,2.5822516766515604,101.03290067066062
0.4,1.0,2.5822516766515604,100.63290067066062
0.4,2.0,2.5822516766515604,100.23290067066063
0.4,3.0,2.5822516766515604,99.83290067066062
0.4,4.0,2.5822516766515604,99.43290067066063
0.4,5.0,2.5822516766515604,99.03290067066062
0.4,6.0,2.5822516766515604,98.63290067066062
0.4,7.0,2.5822516766515604,98.23290067066063
0.4,8.0,2.5822516766515604,97.83290067066062
0.4,9.0,2.5822516766515604,97.43290067066063
0.4,10.0,2.5822516766515604,97.03290067066062
0.425,-2.0,2.5822516766515604,101.94745696257691
0.425,-1.0,2.5822516766515604,101.52245696257691
0.425,0.0,2.5822516766515604,101.09745696257691
0.425,1.0,2.5822516766515604,100.67245696257692
0.425,2.0,2.5822516766515604,100.24745696257692
0.425,3.0,2.5822516766515604,99.82245696257691
0.425,4.0,2.5822516766515604,99.39745696257691
0.425,5.0,2.5822516766515604,98.97245696257691
0.425,6.0,2.5822516766515604,98.54745696257692
0.425,7.0,2.5822516766515604,98.12245696257692
0.425,8.0,2.5822516766515604,97.69745696257691
0.425,9.0,2.5822516766515604,97.27245696257691
0.425,10.0,2.5822516766515604,96.84745696257691
0.45,-2.0,2.5822516766515604,102.06201325449321
0.45,-1.0,2.5822516766515604,101.6120132544932
0.45,0.0,2.5822516766515604,101.1620132544932
0.45,1.0,2.5822516766515604,100.7120132544932
0.45,2.0,2.5822516766515604,100.2620132544932
0.45,3.0,2.5822516766515604,99.81201325449321
0.45,4.0,2.5822516766515604,99.3620132544932
0.45,5.0,2.5822516766515604,98.9120132544932
0.45,6.0,2.5822516766515604,98.4620132544932
0.45,7.0,2.5822516766515604,98.0120132544932
0.45,8.0,2.5822516766515604,97.56201325449321
0.45,9.0,2.5822516766515604,97.1120132544932
0.45,10.0,2.5822516766515604,96.6620132544932
0.475,-2.0,2.5822516766515604,102.1765695464095
0.475,-1.0,2.5822516766515604,101.70156954640949
0.475,0.0,2.5822516766515604,101.2265695464095
0.475,1.0,2.5822516766515604,100.75156954640948
0.475,2.0,2.5822516766515604,100.27656954640949
0.475,3.0,2.5822516766515604,99.8015695464095
0.475,4.0,2.5822516766515604,99.32656954640949
0.475,5.0,2.5822516766515604,98.8515695464095
0.475,6.0,2.5822516766515604,98.37656954640948
0.475,7.0,2.5822516766515604,97.90156954640949
0.475,8.0,2.5822516766515604,97.4265695464095
0.475,9.0,2.5822516766515604,96.95156954640949
0.475,10.0,2.5822516766515604,96.4765695464095
0.5,-2.0,2.5822516766515604,102.29112583832578
0.5,-1.0,2.5822516766515604,101.79112583832578
0.5,0.0,2.5822516766515604,101.29112583832578
0.5,1.0,2.5822516766515604,100.79112583832578
0.5,2.0,2.5822516766515604,100.29112583832578
0.5,3.0,2.5822516766515604,99.79112583832578
0.5,4.0,2.5822516766515604,99.29112583832578
0.5,5.0,2.5822516766515604,98.79112583832578
0.5,6.0,2.5822516766515604,98.29112583832578
0.5,7.0,2.5822516766515604,97.79112583832578
0.5,8.0,2.5822516766515604,97.29112583832578
0.5,9.0,2.5822516766515604,96.79112583832578
0.5,10.0,2.5822516766515604,96.29112583832578
0.525,-2.0,2.5822516766515604,102.40568213024207
0.525,-1.0,2.5822516766515604,101.88068213024206
0.525,0.0,2.5822516766515604,101.35568213024207
0.525,1.0,2.5822516766515604,100.83068213024207
0.525,2.0,2.5822516766515604,100.30568213024208
0.525,3.0,2.5822516766515604,99.78068213024207
0.525,4.0,2.5822516766515604,99.25568213024206
0.525,5.0,2.5822516766515604,98.73068213024207
0.525,6.0,2.5822516766515604,98.20568213024207
0.525,7.0,2.5822516766515604,97.68068213024208
0.525,8.0,2.5822516766515604,97.15568213024207
0.525,9.0,2.5822516766515604,96.63068213024206
