variable,missing_percent
date,0.0
region,0.0
Commodity,0.0
source_rows,0.0
daily_records,0.0
modal_price_rs_per_quintal,0.0
admin_type,0.0
reference_location,0.0
spatial_representation,0.0
rainfall_mm,0.0
temperature_c,0.0
temperature_max_c,0.0
temperature_min_c,0.0
relative_humidity_pct,0.0
observed_days,0.0
expected_days,0.0
is_partial_month,0.0
data_status,0.0
