date,Commodity,weighted_price_sum,official_observations,national_weighted_price,base_price_2015,price_index_2015_100,index_yoy_pct
2001-12-01,Arhar (Tur/Red Gram)(Whole),33694.0,15,2246.266666666667,7527.613774902563,29.840354909756808,
2002-01-01,Arhar (Tur/Red Gram)(Whole),52005.0,36,1444.5833333333333,7527.613774902563,19.190454990526288,
2002-02-01,Arhar (Tur/Red Gram)(Whole),72499.0,48,1510.3958333333333,7527.613774902563,20.064736030547525,
2002-03-01,Arhar (Tur/Red Gram)(Whole),64548.0,49,1317.3061224489795,7527.613774902563,17.499650776995804,
2002-04-01,Arhar (Tur/Red Gram)(Whole),284958.0,166,1716.6144578313254,7527.613774902563,22.804231316364863,
2002-05-01,Arhar (Tur/Red Gram)(Whole),345487.0,192,1799.4114583333333,7527.613774902563,23.90414163293898,
2002-06-01,Arhar (Tur/Red Gram)(Whole),462339.99999999994,248,1864.2741935483868,7527.613774902563,24.76580559650881,
2002-07-01,Arhar (Tur/Red Gram)(Whole),761169.0,423,1799.4539007092199,7527.613774902563,23.904705455381997,
2002-08-01,Arhar (Tur/Red Gram)(Whole),692206.5,370,1870.8283783783784,7527.613774902563,24.852874155363985,
2002-09-01,Arhar (Tur/Red Gram)(Whole),793455.0000000001,406,1954.3226600985224,7527.613774902563,25.962047450074163,
2002-10-01,Arhar (Tur/Red Gram)(Whole),664866.0,334,1990.6167664670659,7527.613774902563,26.444193684642546,
2002-11-01,Arhar (Tur/Red Gram)(Whole),889248.0,439,2025.621867881549,7527.613774902563,26.90921623310527,
2002-12-01,Arhar (Tur/Red Gram)(Whole),1122771.0,629,1785.0095389507155,7527.613774902563,23.712820454498154,-20.534388661896084
2003-01-01,Arhar (Tur/Red Gram)(Whole),1589804.9999999998,946,1680.5549682875262,7527.613774902563,22.32520183076581,16.334927138450063
2003-02-01,Arhar (Tur/Red Gram)(Whole),1761400.0,1001,1759.6403596403597,7527.613774902563,23.375805564136247,16.50193418217807
2003-03-01,Arhar (Tur/Red Gram)(Whole),1623063.0,925,1754.6627027027027,7527.613774902563,23.309680267508345,33.200831059726774
2003-04-01,Arhar (Tur/Red Gram)(Whole),1823801.945,1002,1820.1616217564872,7527.613774902563,24.1797955658272,6.032057079140385
2003-05-01,Arhar (Tur/Red Gram)(Whole),2048517.8625,1133,1808.047539717564,7527.613774902563,24.01886698472342,0.47993922369651276
2003-06-01,Arhar (Tur/Red Gram)(Whole),2164890.945,1206,1795.1002860696517,7527.613774902563,23.846870200150345,-3.7105007255972544
2003-07-01,Arhar (Tur/Red Gram)(Whole),2002588.89,1082,1850.821524953789,7527.613774902563,24.58709466636718,2.8546229622400388
2003-08-01,Arhar (Tur/Red Gram)(Whole),1729068.3900000001,877,1971.571710376283,7527.613774902563,26.191191117557075,5.384958511546012
2003-09-01,Arhar (Tur/Red Gram)(Whole),1644880.0,816,2015.7843137254902,7527.613774902563,26.778530009685337,3.1449082017945384
2003-10-01,Arhar (Tur/Red Gram)(Whole),1382953.3625,674,2051.859588278932,7527.613774902563,27.25776919001787,3.07657520239617
2003-11-01,Arhar (Tur/Red Gram)(Whole),1384075.5,657,2106.659817351598,7527.613774902563,27.985758572993028,4.000645468682706
2003-12-01,Arhar (Tur/Red Gram)(Whole),1801932.445,928,1941.7375484913794,7527.613774902563,25.79486151328896,8.78023372540595
2004-01-01,Arhar (Tur/Red Gram)(Whole),2800604.445,1432,1955.7293610335194,7527.613774902563,25.98073465928895,16.37401917453458
2004-02-01,Arhar (Tur/Red Gram)(Whole),2450736.5,1310,1870.7912213740458,7527.613774902563,24.852380546028495,6.316680628785032
2004-03-01,Arhar (Tur/Red Gram)(Whole),2588967.0,1389,1863.9071274298055,7527.613774902563,24.76092933519204,6.225950124706814
2004-04-01,Arhar (Tur/Red Gram)(Whole),2170424.5,1221,1777.579443079443,7527.613774902563,23.61411592350794,-2.3394723945421747
2004-05-01,Arhar (Tur/Red Gram)(Whole),2246077.5,1206,1862.4191542288556,7527.613774902563,24.741162470878265,3.0072004920725037
