month,seasonal_component,month_name
1,-0.5892371423237274,Jan
2,-1.3460938691701538,Feb
3,-1.6217488020994781,Mar
4,-1.2776616407376435,Apr
5,-1.0481357840092687,May
6,-0.2629860791973572,Jun
7,1.0110513911642207,Jul
8,1.1090757349537557,Aug
9,0.8905073763518317,Sep
10,1.3087196099274072,Oct
11,1.3085127192670958,Nov
12,0.24199399712271907,Dec
