date,food_cpi_yoy,baseline_fitted,full_fitted,full_residual
2002-02-01,4.783919830499661,4.695953932618238,4.698179714110468,0.08574011638919288
2002-03-01,4.7624347739185335,4.912781896891337,4.952088915204101,-0.18965414128556723
2002-04-01,4.319969227465914,4.90260523765736,4.7853322589692695,-0.46536303150335545
2002-05-01,4.291307139947853,4.5013555231912346,4.458595168113653,-0.16728802816579957
2002-06-01,3.832330321905375,4.490374932511714,4.4363142382097855,-0.6039839163044105
2002-07-01,3.5839569024707085,4.070749753026394,4.044747860371285,-0.4607909579005769
2002-08-01,3.560918242758637,3.8421206173384888,3.7150815259713816,-0.15416328321274442
2002-09-01,3.964426610681127,3.81678412462141,3.7839738680249697,0.1804527426561573
2002-10-01,3.742416579503427,4.184902015641105,4.152730515516804,-0.4103139360133774
2002-11-01,3.3206558597337787,3.959156242524072,3.941292383634327,-0.6206365239005485
2002-12-01,2.94918551161365,3.544602078751489,3.5285875015718697,-0.5794019899582197
2003-01-01,3.1590058857517977,3.1810237577831684,3.1563662637299217,0.0026396220218760647
2003-02-01,3.560918242758637,3.371732550323244,3.3727519269597126,0.18816631579892462
2003-03-01,3.742416579503427,3.7520986924522632,3.815090703909827,-0.07267412440639998
2003-04-01,4.715315838729794,3.932964565241656,4.054353444196034,0.6609623945337608
2003-05-01,4.295637268514052,4.863818289304223,4.8135669890056985,-0.5179297204916464
2003-06-01,4.066293118916353,4.484823460152028,4.4265619441877,-0.36026882527134685
2003-07-01,3.832759702487043,4.281322396517577,4.2595847198121435,-0.4268250173251005
2003-08-01,2.8578898459874718,4.066660274105609,4.117540634982017,-1.2596507889945454
2003-09-01,2.662070457475308,3.1454857578259423,3.1572415951061705,-0.49517113763086273
2003-10-01,3.029433053511932,2.9495324200366864,2.975408103425734,0.05402495008619779
2003-11-01,2.8287046858428644,3.2784883747969795,3.3841035111652427,-0.5553988253223783
2003-12-01,3.428672367156449,3.071963939528221,3.091759350807677,0.33691301634877213
2004-01-01,4.007435490724176,3.6226770677565585,3.6352718316961736,0.3721636590280024
2004-02-01,3.809040074970138,4.16062489235636,4.1986010955315365,-0.3895610205613984
2004-03-01,3.218510293411025,3.9759710655685767,3.9076271105587668,-0.6891168171477418
2004-04-01,2.0581950105520885,3.4302247554726493,3.23480139962686,-1.1766063890747716
2004-05-01,2.6136226622379244,2.353354099764429,2.3843904840411914,0.22923217819673303
2004-06-01,2.783222318334011,2.8921031242914834,2.9357770944914323,-0.1525547761574213
2004-07-01,2.9448803475648377,3.0640772831665206,3.096748927520154,-0.1518685799553161
2004-08-01,4.247966804222414,3.2213587625233187,3.229380911313877,1.0185858929085367
2004-09-01,4.432337892508831,4.444135703422258,4.4651593482201175,-0.032821455711286696
2004-10-01,4.214243031461007,4.606007457374135,4.601623784941585,-0.38738075348057777
2004-11-01,3.840739871169152,4.383946537498828,4.499084790648303,-0.6583449194791511
2004-12-01,3.4893047197529947,4.014811095922417,4.02048249474302,-0.5311777749900255
2005-01-01,4.023341793160373,3.6700893653637716,3.6053810333018217,0.4179607598585515
2005-02-01,3.840739871169152,4.165942229730457,4.255016557119172,-0.41427668595001954
2005-03-01,3.840739871169152,3.996179191171742,4.056867983470369,-0.21612811230121665
2005-04-01,4.570965007413763,4.006223691623147,4.06250750299595,0.5084575044178132
2005-05-01,3.448128695487896,4.708679032195564,4.818437730944305,-1.3703090354564096
2005-06-01,3.0615526541987403,3.6678909736216583,3.7166695574088813,-0.6551169032101409
2005-07-01,3.7443118372604944,3.316407465653302,3.254867278902973,0.4894445583575213
2005-08-01,3.179398405499212,3.9641353910812533,4.015910805360484,-0.836512399861272
2005-09-01,3.3493675840359005,3.4288008793358404,3.4153645598141518,-0.06599697577825125
2005-10-01,3.85530503272975,3.577117941647783,3.613712932023608,0.2415921007061419
2005-11-01,4.913999660530766,4.03649683541124,4.113528201699436,0.8004714588313293
2005-12-01,5.128118251111746,5.015307584468319,5.130440315731392,-0.0023220646196460137
2006-01-01,4.030267478728389,5.202869885110904,5.259834667877988,-1.2295671891495994
2006-02-01,4.21320268133234,4.162833626087829,4.088263534598213,0.12493914673412654
2006-03-01,4.21320268133234,4.337104336728864,4.1069293286022335,0.1062733527301063
2006-04-01,4.288081919699449,4.34714883718027,4.380227016179612,-0.09214509648016289
2006-05-01,5.45834248120618,4.432810174902305,4.440615997387114,1.0177264838190654
2006-06-01,6.692836477885855,5.550223463233849,5.555153592828176,1.1376828850576794
2006-07-01,5.832170228490607,6.724447647734349,6.756034127717365,-0.9238638992267578
2006-08-01,5.4702456448395775,5.91954490335962,5.904009702886136,-0.4337640580465587
2006-09-01,5.893241395644844,5.575258057534462,5.579050359046318,0.3141910365985261
2006-10-01,6.369856256083306,5.961716951270853,5.9270998643554265,0.4427563917278796
2006-11-01,5.481632271849612,6.393498210498794,6.313582247443287,-0.831949975593675
2006-12-01,6.012707105152271,5.53992131841852,5.510370160920724,0.5023369442315468
2007-01-01,6.190958992026041,6.025794343687419,5.922803494599753,0.26815549742628786
2007-02-01,6.962682255752539,6.186791721710689,6.036013332417856,0.9266689233346828
2007-03-01,6.190958992026041,6.915213982283564,7.113048843704887,-0.9220898516788463
2007-04-01,6.139492303334593,6.198933220811074,6.22858577748471,-0.08909347415011748
2007-05-01,6.088876882359218,6.165681156699538,6.132345823233462,-0.04346894087424413
2007-06-01,5.242917953257598,6.134038676683561,6.082810269038351,-0.8398923157807534
2007-07-01,5.941914927108249,5.350196301233928,5.308021130206807,0.6338937969014422
2007-08-01,6.682675772688196,6.013206800353983,5.957186361663468,0.7254894110247276
2007-09-01,5.894493167189996,6.706737940393894,6.629527520408107,-0.7350343532181114
2007-10-01,5.078102117686356,5.953268211749865,5.881804494270244,-0.803702376583888
2007-11-01,5.078102117686356,5.168106947212346,5.137159046573557,-0.05905692888720093
2007-12-01,5.078102117686356,5.150502674229199,5.082806069687912,-0.004703952001555933
2008-01-01,5.078102117686356,5.136542293495649,5.07425317211643,0.003848945569925988
2008-02-01,5.038530771498029,5.129773770829544,5.108095540638925,-0.06956476914089649
2008-03-01,7.248161829460775,5.094600903537647,5.064767764172667,2.183394065288108
2008-04-01,7.191697692609056,7.184290961361744,7.104204187493054,0.08749350511600174
2008-05-01,7.136106345733362,7.1463354329197015,7.100228884662348,0.03587746107101353
2008-06-01,7.081366248825405,7.110009744747718,7.093651530188905,-0.012285281363499934
2008-07-01,7.669706556784495,7.070841337991415,7.206649036700813,0.46305752008368195
2008-08-01,8.301963890991138,7.629704747584572,7.701315586041476,0.6006483049496616
2008-09-01,8.991350771891504,8.221115289448752,8.330501565071277,0.6608492068202274
2008-10-01,9.60840614735259,8.858294378409294,8.979856957530082,0.6285491898225075
2008-11-01,9.60840614735259,9.422254488078996,9.515030804585917,0.09337534276667192
2008-12-01,8.92448844266045,9.404650215095849,9.542931503408026,-0.618443060747575
2009-01-01,9.60840614735259,8.747004812355556,8.682477970354261,0.9259281769983279
2009-02-01,8.858589333940724,9.383921311696195,9.297891741325227,-0.43930240738450266
2009-03-01,7.39058924313003,8.68031081259981,8.640575232354363,-1.2499859892243332
2009-04-01,8.002098077393827,7.30871295421692,7.3340860551264555,0.6680120222673711
2009-05-01,7.944710121728438,7.899435691686923,7.911218848560672,0.033491273167765456
2009-06-01,8.543288722960817,7.8614190834519,7.85457904386138,0.6887096790994374
2009-07-01,10.927394872773988,8.43713673346054,8.35710033544953,2.5702945373244575
2009-08-01,10.77731628507732,10.686126846167966,10.652598539026389,0.12471774605093167
2009-09-01,10.703805694107004,10.5412237765375,10.527617327753154,0.17618836635385016
2009-10-01,10.559751845831643,10.460384202432401,10.467546660296797,0.09220518553484602
2009-11-01,12.41431860834028,10.308008700274565,10.317856095232894,2.096462513107385
2009-12-01,13.74164797359727,12.035872981692576,12.076417374409393,1.6652305991878773
2010-01-01,14.883146797774405,13.271159441366878,13.231873520403125,1.6512732773712795
2010-02-01,13.64928096603524,14.338739032107021,14.285323017210466,-0.6360420511752256
2010-03-01,13.64928096603524,13.179554564276192,13.154930063362565,0.4943509026726751
2010-04-01,12.249571380779356,13.189599064727597,13.087693306411614,-0.8381219256322581
2010-05-01,12.774307090983084,11.887416904799679,11.865034234739444,0.909272856243641
2010-06-01,12.608111145298206,12.397279496218186,12.431640456456556,0.1764706888416505
2010-07-01,10.34321509013074,12.253211830412804,12.326988077575207,-1.9837729874444676
2010-08-01,9.084921682959358,10.12668561112322,10.181059007318979,-1.0961373243596206
2010-09-01,9.029382218524562,8.938760441658552,8.933355313373742,0.09602690515082024
2010-10-01,8.920332563793032,8.874834810415498,8.89523518011411,0.025097383678922114
2010-11-01,7.669698017864124,8.755404317484658,8.773280017751464,-1.1035819998873402
2010-12-01,8.709922592207263,7.560736313447765,7.600729645641866,1.1091929465653978
2011-01-01,8.558361927809255,8.52580743523896,8.691042045904016,-0.1326801180947612
2011-02-01,6.170208221313067,8.376394075439558,8.37073214122041,-2.2005239199073428
2011-03-01,5.337966797966898,6.1308247824058935,6.1051897328868545,-0.7672229349199569
2011-04-01,5.694642560562846,5.357585950336107,5.305609844561554,0.3890327160012923
2011-05-01,5.265151430450654,5.708466627541853,5.6949922851660055,-0.4298408547153514
2011-06-01,5.311261591724548,5.320236479886342,5.231933990337095,0.07932760138745287
2011-07-01,4.605846288269566,5.375985634426966,5.364702999427229,-0.7588567111576632
2011-08-01,5.859292628864821,4.717200921313195,4.761944725840163,1.0973479030246578
2011-09-01,6.786889567304932,5.8932579147962745,5.970843056467167,0.816046510837765
2011-10-01,6.93128625185282,6.754633928441957,6.824059348794583,0.10722690305823779
2011-11-01,6.165472084012369,6.873740340400919,6.857381179161215,-0.691909095148846
2011-12-01,2.9255946555126755,6.135372288241515,6.132556609333759,-3.206961953821083
2012-01-01,1.516793335684552,3.072126065724218,3.134646868343616,-1.6178535326590642
2012-02-01,5.487123046117981,1.739431481581322,1.883034229575395,3.604088816542586
2012-03-01,7.6749439274437,5.478270066498155,5.5172999400753255,2.157643987368375
2012-04-01,9.561304843353424,7.547432970349982,7.53519220062406,2.0261126427293643
2012-05-01,9.944133315196837,9.338012334720721,9.413763721093577,0.5303695941032593
2012-06-01,10.607734227081478,9.71431563498446,9.649472570053296,0.9582616570281814
2012-07-01,11.43790764731416,10.351230541879398,10.246727156560986,1.1911804907531742
2012-08-01,11.625403727858895,11.137700798214237,11.029685281700742,0.5957184461581537
2012-09-01,10.61571131879937,11.310513962956879,11.251226977059565,-0.6355156582601946
2012-10-01,9.758656868817717,10.348565141284745,10.317413672922429,-0.5587568041047124
2012-11-01,10.515247197190993,9.525132573559743,9.50058899118285,1.0146582060081428
2012-12-01,12.179487537771095,10.219610849146184,10.189164587100787,1.9903229506703077
2013-01-01,12.700106223639862,11.771988893198742,11.711416015900065,0.988690207739797
2013-02-01,13.16348187276597,12.255212730682763,12.219854145485955,0.9436277272800151
2013-03-01,12.054507568855756,12.6934264767983,12.779189107404116,-0.72468153854836
2013-04-01,10.574948240274118,11.659734071010838,11.59985565758902,-1.0249074173149015
2013-05-01,10.975609835166322,10.282399471780291,10.272352821247546,0.7032570139187762
2013-06-01,12.08791260619888,10.675486829721379,10.679675709952159,1.4082368962467218
2013-07-01,12.12121212121211,11.734707906055379,11.851686207760682,0.26952591345142807
2013-08-01,12.439730397343762,11.77118179046024,11.872408677277393,0.5673217200663689
2013-09-01,13.5316695377647,12.067309535701568,12.15957575571029,1.3720937820544101
2013-10-01,14.91395777171962,13.083360027245558,13.137006060582332,1.7769517111372881
2013-11-01,16.650807970376192,14.367536803307328,14.447243722354443,2.203564248021749
2013-12-01,12.761904329055284,15.984609408367461,16.015039809732915,-3.2531354806776314
