date,forecast,lower_95_empirical,upper_95_empirical,previous_date,food_cpi_previous_year,food_cost_growth_yoy_pct,food_cost_growth_lower_yoy_pct,food_cost_growth_upper_yoy_pct,selected_model_probability,input_status
2026-01-01,158.01435929793814,155.41539913951934,162.00597658755723,2025-01-01,157.447599,0.359967571139741,-1.2907150527463163,2.895171229354365,0.0258659074428736,observed inputs
2026-02-01,157.63549634246394,153.55621361854145,164.34831744723132,2025-02-01,154.861351,1.791373589698253,-0.8427779901381327,6.126103373094893,0.0112516802490845,conditional forecast inputs
2026-03-01,157.73594521202895,154.00151079579817,165.8496968259998,2025-03-01,153.764155,2.5830403789680156,0.15436354187892132,7.859791396765936,0.0120236223002651,conditional forecast inputs
2026-04-01,158.45425566947418,154.5472457503463,166.6437835069626,2025-04-01,153.607413,3.155344247268954,0.6118407516870761,8.486810794061462,0.0120236223002651,conditional forecast inputs
2026-05-01,159.05613365381862,154.19710402643858,167.1720704273601,2025-05-01,153.685784,3.494369820059995,0.3327048300307167,8.775233516302382,0.0079703340047151,conditional forecast inputs
2026-06-01,160.21177378069424,154.95976791054903,168.4351785186227,2025-06-01,155.253207,3.19385787676143,-0.1890067813226981,8.490627519612337,0.0085402930528552,conditional forecast inputs
2026-07-01,161.85444920169337,156.48768807374046,170.60905056542882,2025-07-01,157.996196,2.4419911993915244,-0.9547748391736888,7.983011543789842,0.0379960912684658,conditional forecast inputs
2026-08-01,162.31926817977342,156.7296663391055,171.6844612179651,2025-08-01,158.93665,2.1282807834275053,-1.3885932922925504,8.020686995708726,0.0412381325720024,conditional forecast inputs
2026-09-01,162.4656605702987,156.7915933963883,171.17357952935728,2025-09-01,158.309681,2.625221366151753,-0.9589354195033151,8.125781347103644,0.0142689722236095,conditional forecast inputs
2026-10-01,163.24700880838006,158.6006854464701,170.5554589363872,2025-10-01,157.996196,3.3233792593209355,0.3825974686568312,7.94909197458602,0.0165604470671908,conditional forecast inputs
2026-11-01,163.6081221656412,160.15092589152687,171.2748119477453,2025-11-01,158.779908,3.040821868747523,0.8634706423478189,7.869323080691859,0.0180849369556883,conditional forecast inputs
2026-12-01,162.90111705668528,160.34071357825746,170.8598219457716,2025-12-01,158.388052,2.849372158883101,1.2328338871529843,7.87418608177064,0.0177669002648419,conditional forecast inputs
