date,food_cpi_2015_100,mandi_price_index_2015_100,food_cpi_yoy_pct_exact,mandi_index_yoy_pct,mandi_source_rows,commodities_observed
2000-01-01,37.928656,,,,,
2000-02-01,37.84741,,,,,
2000-03-01,38.172329,,,,,
2000-04-01,38.497028,,,,,
2000-05-01,38.659287,,,,,
2000-06-01,38.82149,,,,,
2000-07-01,39.064703,,,,,
2000-08-01,38.902575,,,,,
2000-09-01,38.983646,,,,,
2000-10-01,39.388772,,,,,
2000-11-01,39.469759,,,,,
2000-12-01,39.145736,,,,,
2001-01-01,39.064703,38.4581472263231,2.9952208166827976,,5.0,3.0
2001-02-01,38.902575,39.80134925984972,2.7879450667826378,,2.0,2.0
2001-03-01,39.064703,23.49112141761925,2.3377509923484308,,55.0,5.0
2001-04-01,39.30778,32.874515913093454,2.106011923829554,,106.0,6.0
2001-05-01,39.550723,38.5495401038801,2.3058780158051078,,98.0,5.0
2001-06-01,40.036267,42.77330852816401,3.129135435038699,,244.0,7.0
2001-07-01,40.521302,48.18114997980233,3.728683154201873,,406.0,7.0
2001-08-01,40.763643,46.19835626217554,4.783919830499661,,340.0,7.0
2001-09-01,40.682882,43.23277198743796,4.358843192860928,,369.0,7.0
2001-10-01,40.925134,49.54623249793558,3.9005074847217713,,295.0,7.0
2001-11-01,41.247966,51.89238001979747,4.50523906163196,,239.0,7.0
2001-12-01,41.005864,45.15642475696919,4.751802341894917,,497.0,8.0
2002-01-01,40.8444,35.60194443866376,4.555767389297705,-7.426782083002648,1211.0,8.0
2002-02-01,40.763643,36.0601913965472,4.783919830499661,-9.399575473880915,1437.0,8.0
2002-03-01,40.925134,34.98090999157183,4.7624347739185335,48.9111965737608,1791.0,8.0
2002-04-01,41.005864,35.14395987370172,4.319969227465914,6.903353243611954,4454.0,8.0
2002-05-01,41.247966,37.04734164343501,4.291307139947853,-3.896799952469199,4576.0,8.0
2002-06-01,41.570589,39.289183466606666,3.832330321905375,-8.14555895123995,4941.0,8.0
2002-07-01,41.973568,40.567799426711446,3.5839569024707085,-15.80151274156474,6974.0,8.0
2002-08-01,42.215203,43.06851839288856,3.560918242758637,-6.774781880820957,7838.0,8.0
2002-09-01,42.295725,40.64561810093969,3.964426610681127,-5.984242433610332,8835.0,8.0
2002-10-01,42.456723,41.84542571907673,3.742416579503427,-15.542668716899344,9271.0,8.0
2002-11-01,42.617669,42.73717391117664,3.3206558597337787,-17.642679146973073,10517.0,8.0
2002-12-01,42.215203,35.07678296182358,2.94918551161365,-22.321611707290824,10166.0,8.0
2003-01-01,42.134677,32.21825158638522,3.1590058857517977,-9.504236090554208,14239.0,8.0
2003-02-01,42.215203,32.383428324934066,3.560918242758637,-10.196182907573782,14211.0,8.0
2003-03-01,42.456723,32.76214531729648,3.742416579503427,-6.3427871796643664,14407.0,8.0
2003-04-01,42.93942,35.30254730884884,4.715315838729794,0.4512508997763564,15567.0,8.0
2003-05-01,43.019829,36.21658932717778,4.295637268514052,-2.2424073615129103,18100.0,8.0
2003-06-01,43.260971,37.10481487344131,4.066293118916353,-5.55972000543592,18479.0,8.0
2003-07-01,43.582314,39.61480408799507,3.832759702487043,-2.349142305433716,20086.0,8.0
2003-08-01,43.421667,35.53314639883784,2.8578898459874718,-17.496241512907385,17883.0,8.0
2003-09-01,43.421667,36.85414643284334,2.662070457475308,-9.328119106666245,18856.0,8.0
2003-10-01,43.742921,39.008659848663655,3.029433053511932,-6.779154045312607,16755.0,8.0
2003-11-01,43.823197,38.57141426180819,2.8287046858428644,-9.747391481772782,17105.0,8.0
2003-12-01,43.662624,38.619373782161375,3.428672367156449,10.099531716444554,17881.0,8.0
2004-01-01,43.823197,39.063349269555104,4.007435490724176,21.24602467895087,23485.0,8.0
2004-02-01,43.823197,36.47021904664813,3.809040074970138,12.620006383225912,17197.0,8.0
2004-03-01,43.823197,35.47951870250867,3.218510293411025,8.294247397094523,18805.0,8.0
2004-04-01,43.823197,34.95132540081742,2.0581950105520885,-0.9948911192121934,16286.0,8.0
2004-05-01,44.144205,37.23853960567357,2.6136226622379244,2.8217739369756023,15533.0,8.0
2004-06-01,44.46502,39.58300775513533,2.783222318334011,6.678898385955412,19154.0,8.0
2004-07-01,44.865761,41.28205080117871,2.9448803475648377,4.208645610060913,18695.0,8.0
2004-08-01,45.266205,44.53902214647505,4.247966804222414,25.344999417028124,19709.0,8.0
2004-09-01,45.346262,41.94853073953812,4.432337892508831,13.823096719870875,19260.0,8.0
2004-10-01,45.586354,41.20990978843051,4.214243031461007,5.64297760627186,20345.0,8.0
2004-11-01,45.506332,40.72063831066119,3.840739871169152,5.572064416059197,17715.0,8.0
2004-12-01,45.186146,35.726165512706174,3.4893047197529947,-7.491598092125463,21972.0,8.0
2005-01-01,45.586354,33.871859530695666,4.023341793160373,-13.28992479123018,21812.0,8.0
2005-02-01,45.506332,33.568399139354,3.840739871169152,-7.956683516439778,21417.0,8.0
2005-03-01,45.506332,33.7115404249028,3.840739871169152,-4.983095437201801,23760.0,8.0
2005-04-01,45.82634,36.61160007421007,4.570965007413763,4.750248107483279,24196.0,8.0
2005-05-01,45.666354,37.2496373829557,3.448128695487896,0.0298018595778382,26568.0,8.0
2005-06-01,45.82634,37.53846544167598,3.0615526541987403,-5.16520201321512,26933.0,8.0
2005-07-01,46.545675,41.23992059445718,3.7443118372604944,-0.1020545392098615,27284.0,8.0
2005-08-01,46.705398,42.97782985622769,3.179398405499212,-3.505223543330338,29429.0,8.0
2005-09-01,46.865075,43.94255375281972,3.3493675840359005,4.753499057363064,30706.0,8.0
2005-10-01,47.343847,45.2001378342258,3.85530503272975,9.68269056224804,31055.0,8.0
2005-11-01,47.742513,49.55656940797349,4.913999660530766,21.698901254696047,29106.0,8.0
2005-12-01,47.503345,44.49193068822389,5.128118251111746,24.53598098122265,37752.0,8.0
2006-01-01,47.423606,40.49715044717165,4.030267478728389,19.559867714000024,35815.0,8.0
2006-02-01,47.423606,38.41147430275507,4.21320268133234,14.427483250827034,34763.0,8.0
2006-03-01,47.423606,39.41568342643964,4.21320268133234,16.920446024243873,37781.0,8.0
2006-04-01,47.791411,39.82439393502882,4.288081919699449,8.775344028413311,38182.0,8.0
2006-05-01,48.15898,42.44546130981748,5.45834248120618,13.948656394811598,52337.0,8.0
2006-06-01,48.893422,46.49941297906404,6.692836477885855,23.871374154361224,53112.0,8.0
2006-07-01,49.260298,46.2546841593614,5.832170228490607,12.15997386177854,51854.0,8.0
2006-08-01,49.260298,47.19732487223971,5.4702456448395775,9.81784103601171,47724.0,8.0
2006-09-01,49.626947,50.288946431523456,5.893241395644844,14.442475770531438,49921.0,8.0
2006-10-01,50.359582,51.355184621188286,6.369856256083306,13.617318623090236,39752.0,8.0
2006-11-01,50.359582,51.27806581480428,5.481632271849612,3.473800602819388,45535.0,8.0
2006-12-01,50.359582,48.27352834727283,6.012707105152271,8.499513508524492,48607.0,8.0
2007-01-01,50.359582,47.01310148885361,6.190958992026041,16.089900078727727,54036.0,8.0
2007-02-01,50.725561,46.23811017337628,6.962682255752539,20.37577576151468,51322.0,8.0
2007-03-01,50.359582,45.84164710619678,6.190958992026041,16.303062946377022,57603.0,8.0
2007-04-01,50.725561,45.8430441962964,6.139492303334593,15.112973900084082,60261.0,8.0
2007-05-01,51.091321,45.99906218988809,6.088876882359218,8.372157517931544,57450.0,8.0
2007-06-01,51.456864,49.09211560919023,5.242917953257598,5.575774970091629,59891.0,8.0
2007-07-01,52.187303,54.19879347809073,5.941914927108249,17.174713141180398,60209.0,8.0
2007-08-01,52.552204,54.93667911674289,6.682675772688196,16.397866331308265,60066.0,8.0
2007-09-01,52.552204,54.87956701905897,5.894493167189996,9.128488292723302,53055.0,8.0
2007-10-01,52.916893,56.34103420330968,5.078102117686356,9.708561304761254,54015.0,8.0
2007-11-01,52.916893,54.36173619477445,5.078102117686356,6.0136245994674375,46537.0,8.0
2007-12-01,52.916893,48.80977714628447,5.078102117686356,1.1108547839178806,59423.0,8.0
2008-01-01,52.916893,46.646807068988046,5.078102117686356,-0.7791326423176037,59263.0,8.0
2008-02-01,53.281384,48.88117374785533,5.038530771498029,5.716201558775902,62734.0,8.0
2008-03-01,54.009726,50.22053565291374,7.248161829460775,9.552205959294668,57644.0,8.0
2008-04-01,54.37359,49.73109133723418,7.191697692609056,8.481215000228758,59917.0,8.0
2008-05-01,54.737252,47.85557733483059,7.136106345733362,4.035984771338685,62107.0,8.0
2008-06-01,55.100713,49.43845666439604,7.081366248825405,0.7054922178602929,55320.0,8.0
2008-07-01,56.189916,53.10335232130913,7.669706556784495,-2.0211541373599373,61581.0,8.0
2008-08-01,56.915069,54.585360032642775,8.301963890991138,-0.6394982182187259,50380.0,8.0
2008-09-01,57.277357,55.2120448746609,8.991350771891504,0.6058317761262089,49268.0,8.0
2008-10-01,58.001363,57.44689295614426,9.60840614735259,1.962794557238756,50845.0,8.0
2008-11-01,58.001363,56.73348824963857,9.60840614735259,4.362907112396641,53841.0,8.0
2008-12-01,57.639455,51.39761095753064,8.92448844266045,5.301875899761543,57824.0,8.0
2009-01-01,58.001363,52.96693681774863,9.60840614735259,13.548901084298135,58607.0,8.0
2009-02-01,58.001363,52.60991161500612,8.858589333940724,7.628167618037995,57547.0,8.0
2009-03-01,58.001363,53.72697514519496,7.39058924313003,6.982083019812979,49125.0,8.0
2009-04-01,58.724618,57.10119527066265,8.002098077393827,14.819911920795503,46858.0,8.0
2009-05-01,59.085968,60.30589086012863,7.944710121728438,26.0164315607083,44503.0,8.0
2009-06-01,59.808126,64.61240638311214,8.543288722960817,30.69260398179841,42624.0,8.0
2009-07-01,62.33001,70.64510965093642,10.927394872773988,33.033239075922125,45294.0,8.0
2009-08-01,63.048986,71.64670019334356,10.77731628507732,31.25625653196733,42344.0,8.0
2009-09-01,63.408214,70.24656148006144,10.703805694107004,27.230501314579094,44272.0,8.0
2009-10-01,64.126163,76.584555467018,10.559751845831643,33.313659844900045,48932.0,8.0
2009-11-01,65.201837,82.24154881875647,12.41431860834028,44.96120608145473,50052.0,8.0
2009-12-01,65.560066,75.90212415994293,13.74164797359727,47.67636616935393,51438.0,8.0
2010-01-01,66.633791,66.92189663737778,14.883146797774405,26.346548730288298,55245.0,8.0
2010-02-01,65.918132,59.79393850596946,13.64928096603524,13.655272686134312,54222.0,8.0
2010-03-01,65.918132,55.32687002710543,13.64928096603524,2.977824226260317,58734.0,8.0
2010-04-01,65.918132,54.4102376116354,12.249571380779356,-4.712611787322429,62746.0,8.0
2010-05-01,66.633791,56.13692997348058,12.774307090983084,-6.913024295283843,58920.0,8.0
2010-06-01,67.348801,59.48998738744724,12.608111145298206,-7.927918618743412,58158.0,8.0
2010-07-01,68.776937,66.717887310106,10.34321509013074,-5.5590859158336166,57544.0,8.0
